Arches National Park, N3837-N3850 W10930-W10945
Archuleta County Colorado, N3700-N3725 W10630-W10730
Arctic National Wildlife Refuge, N6935-N7020 W14200-W14700
Arctic Ocean, N7000-N9000 E18000-W18000
Ardeche France, N4415-N4530 E00500-E00345
Ardennes, N4930-N5030 E00530-E00410
Ardennes France, N4912-N5010 E00525-E00402
Ardmore Basin, N3340-N3440 W09600-W09900
Arenac County Michigan, N4352-N4408 W08335-W08410
Arenal, N1028-N1028 W08444-W08444
Arendal Norway, N5827-N5827 E00856-E00856
Argentera Italy, N4423-N4423 E00656-E00656
Argentera Massif, N4400-N4440 E00740-E00645
Argenteuil County Quebec, N4530-N4605 W07410-W07445
Argentina, S5500-S2200 W05330-W07300
Argentine Andes, S4500-S2130 W06440-W07340
Arges River, N4411-N4524 E02616-E02439
Ariake Bay, N3228-N3313 E13035-E13005
Arida-gawa, N3401-N3413 E13534-E13504
Ariege France, N4235-N4325 E00210-E00050
Ariyalur India, N1111-N1111 E07904-E07904
Arizona, N3115-N3700 W10900-W11500
Arkansas, N3300-N3630 W08940-W09440
Arkansas City Kansas, N3703-N3703 W09702-W09702
Arkansas County Arkansas, N3352-N3435 W09105-W09142
Arkansas River, N3348-N3922 W09103-W10623
Arlington County Virginia, N3850-N3856 W07703-W07712
Armenia, N3900-N4100 E04600-E04300
Armidale Australia, S3032-S3032 E15140-E15140
Armorican Massif, N4630-N4945 W00000-W00450
Armstrong County Pennsylvania, N4032-N4109 W07912-W07942
Armstrong County Texas, N3448-N3514 W10107-W10141
Aroostook County Maine, N4535-N4730 W06747-W07002
Arosa Bay, N4227-N4240 W00850-W00900
Arroyo El Mimbral, N2313-N2313 W09840-W09840
Artemovsk Ukraine, N4835-N4835 E03800-E03800
Arthabaska County Quebec, N4545-N4620 W07135-W07220
Arthur County Nebraska, N4125-N4145 W10125-W10205
Aruba, N1225-N1235 W06955-W07005
Arunachal Pradesh India, N2700-N2920 E09720-E09130
Asama, N3626-N3626 E13830-E13830
Ascension Island, S0757-S0757 W01422-W01422
Ascension Parish Louisiana, N3003-N3021 W09035-W09108
Aschersleben Germany, N5146-N5146 E01128-E01128
Ashe County North Carolina, N3615-N3635 W08115-W08145
Ashio Japan, N3639-N3639 E13924-E13924
Ashio Mine, N3640-N3640 E13925-E13925
Ashland County Ohio, N4033-N4105 W08207-W08226
Ashland County Wisconsin, N4558-N4640 W09018-W09055
Ashley County Arkansas, N3300-N3325 W09125-W09210
Ashtabula County Ohio, N4130-N4158 W08031-W08100
Aso, N3255-N3255 E13102-E13102
Aso Caldera, N3255-N3255 E13102-E13102
Asotin County Washington, N4600-N4625 W11650-W11730
Aspo Hard Rock Laboratory, N5725-N5725 E01640-E01640
Assam India, N2407-N2800 E09600-E08945
Assiniboine River, N4937-N5212 W09710-W10231
Assumption Parish Louisiana, N2939-N3005 W09053-W09116
Astrakhan Field, N4625-N4720 E04915-E04710
Asturias Spain, N4254-N4340 W00430-W00715
Aswan Dam, N2405-N2405 E03255-E03255
Aswan Egypt, N2405-N2405 E03256-E03256
Atacama Chile, S2935-S2515 W06815-W07130
Atascosa County Texas, N2838-N2915 W09810-W09850
Atasu Kazakhstan, N4842-N4842 E07138-E07138
Atchafalaya Bay, N2915-N2935 W09110-W09135
Atchafalaya River, N2940-N3102 W09113-W09149
Atchison County Kansas, N3926-N3940 W09459-W09533
Atchison County Missouri, N4016-N4036 W09511-W09547
Atchison Kansas, N3933-N3933 W09519-W09519
Athabasca Basin, N5700-N5930 W10200-W11130
Athabasca River, N5210-N5840 W11100-W11730
Athens County Ohio, N3912-N3935 W08142-W08218
Athens Georgia, N3357-N3357 W08322-W08322
Athens Greece, N3800-N3800 E02344-E02344
Athens Ohio, N3919-N3919 W08206-W08206
Atikokan Ontario, N4845-N4845 W09138-W09138
Atkinson County Georgia, N3110-N3125 W08232-W08307
Atlanta Georgia, N3345-N3345 W08423-W08423
Atlantic City New Jersey, N3923-N3923 W07427-W07427
Atlantic County New Jersey, N3917-N3944 W07419-W07459
Atlantic Ocean, S6000-N7500 E02000-W08000
Atlantis Seamount, N3400-N3400 W03015-W03015
Atlin British Columbia, N5931-N5931 W13341-W13341
Atoka County Oklahoma, N3410-N3441 W09540-W09623
Atsumi Peninsula, N3440-N3450 E13725-E13700
Attala County Mississippi, N3250-N3315 W08920-W08955
Attock Pakistan, N3352-N3352 E07220-E07220
Aube France, N4755-N4845 E00450-E00320
Aubrac, N4430-N4455 E00325-E00245
Auckland Islands, S5035-S5035 E16600-E16600
Auckland New Zealand, S3655-S3655 E17445-E17445
Aude France, N4230-N4340 E00315-E00145
Audrain County Missouri, N3905-N3920 W09120-W09220
Audubon County Iowa, N4130-N4150 W09442-W09507
Auglaize County Ohio, N4020-N4042 W08350-W08425
Augusta County Virginia, N3753-N3828 W07845-W07930
Augusta Maine, N4417-N4417 W06948-W06948
Augustow Poland, N5351-N5351 E02300-E02300
Aurora County South Dakota, N4330-N4355 W09820-W09850
Austin County Texas, N2930-N3010 W09600-W09635
Austin Texas, N3118-N3118 W09747-W09747
Australia, S4400-S1000 E15400-E11300
Australian Capital Territory, S3510-S3510 E15040-E05040
Austria, N4615-N4900 E01715-E00930
Austrian Vienna Basin, N4740-N4850 E01710-E01540
Autauga County Alabama, N3220-N3245 W08625-W08655
Autun France, N4658-N4658 E00418-E00418
Auvergne, N4430-N4615 E00445-E00200
Auxerre France, N4748-N4748 E00335-E00335
Avacha, N5315-N5315 E15850-E15850
Avallon France, N4730-N4730 E00354-E00354
Avalon Peninsula, N4630-N4810 W05230-W05415
Avawatz Mountains, N3520-N3535 W11620-W11640
Avery County North Carolina, N3552-N3615 W08145-W08205
Aves Island, N1542-N1542 W06338-W06338
Aveyron France, N4340-N4500 E00330-E00145
Avila City Spain, N4039-N4039 E00442-E00442
Avila Spain, N4005-N4110 W00410-W00545
Aviles Spain, N4333-N4333 E00555-E00555
Avon England, N5115-N5135 W00220-W00305
Avoyelles Parish Louisiana, N3049-N3121 W09140-W09217
Awaji Island, N3410-N3440 E13505-E13440
Awashima, N3830-N3830 E13915-E13915
Axel Heiberg Island, N7800-N8200 W08500-W09700
Axial Seamount, N4600-N4600 W13000-W13000
Ayacucho Peru, S1530-S1207 W07229-W07502
Ayrshire Scotland, N5500-N5550 W00330-W00500
Azad Kashmir Pakistan, N3220-N3510 E07600-E07325
Azerbaijan, N3830-N4200 E05000-E04500
Azerbaijan region, N3600-N4200 E05000-E04405
Azores, N3700-N4000 W02500-W03100
Azov region, N4430-N4700 E03900-E03500
Azov Russian Federation, N4706-N4706 E03926-E03926
Azov Sea, N4500-N4700 E03900-E03400
Babor Range, N3630-N3630 E00525-E00525
Baca County Colorado, N3700-N3740 W10205-W10305
Bacon County Georgia, N3122-N3142 W08215-W08237
Bad Deutsch Altenburg Austria, N4808-N4808 E01654-E01654
Bad Gastein Austria, N4707-N4707 E01309-E01309
Bad Pyrmont Germany, N5159-N5159 E00916-E00916
Badajoz City Spain, N3853-N3853 W00658-W00658
Badajoz Spain, N3757-N3930 W00440-W00720
Badakhshan Afghanistan, N3530-N3830 E07500-E06955
